lang,field,filter,filter_value,mean,pstdev,number of packages
doi,package stats,,,0,0.0,1416
doi,name,type,desktop,0.1,3.08,1050
doi,summary,type,desktop,0.19,4.36,1050
doi,description,type,desktop,0,0.0,1050
doi,package stats,type,desktop,0,0.0,1050
dv,name,,,0.07,2.66,1416
dv,summary,,,0,0.0,1416
dv,description,,,0,0.0,1416
dv,package stats,,,0,0.0,1416
dv,name,type,desktop,0.1,3.08,1050
dv,summary,type,desktop,0,0.0,1050
dv,description,type,desktop,0,0.0,1050
dv,package stats,type,desktop,0,0.0,1050
dz,name,,,4.38,20.46,1416
dz,summary,,,4.59,20.93,1416
dz,description,,,0,0.0,1416
dz,package stats,,,0.14,3.76,1416
dz,name,type,desktop,5.52,22.84,1050
dz,summary,type,desktop,6.19,24.1,1050
dz,description,type,desktop,0,0.0,1050
dz,package stats,type,desktop,0.19,4.36,1050
el,name,,,12.08,32.59,1416
el,summary,,,22.46,41.73,1416
el,description,,,6.14,24.01,1416
el,package stats,,,5.65,23.09,1416
el,name,type,desktop,14.29,34.99,1050
el,summary,type,desktop,28.0,44.9,1050
el,description,type,desktop,8.29,27.57,1050
el,package stats,type,desktop,7.14,25.75,1050
el_GR,name,,,0.07,2.66,1416
el_GR,summary,,,0.14,3.76,1416
el_GR,description,,,0,0.0,1416
el_GR,package stats,,,0.14,3.76,1416
el_GR,name,type,desktop,0.1,3.08,1050
el_GR,summary,type,desktop,0.19,4.36,1050
el_GR,description,type,desktop,0,0.0,1050
el_GR,package stats,type,desktop,0.19,4.36,1050
en,name,,,0.14,3.76,1416
en,summary,,,0.35,5.93,1416
en,description,,,0,0.0,1416
en,package stats,,,0.21,4.6,1416
en,name,type,desktop,0.19,4.36,1050
en,summary,type,desktop,0.48,6.88,1050
en,description,type,desktop,0,0.0,1050
en,package stats,type,desktop,0.29,5.34,1050
en@shaw,name,,,3.18,17.54,1416
en@shaw,summary,,,4.17,19.98,1416
en@shaw,description,,,0,0.0,1416
en@shaw,package stats,,,0.35,5.93,1416
en@shaw,name,type,desktop,3.81,19.14,1050
