project,type,url,name,summary,description,package stats
bpg-mikhail-stephan-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-mrgvlovani-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-nateli-caps-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-nino-medium-cond-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-sans-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-serif-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpg-ucnobi-fonts,font,http://groups.google.com/group/bpg-fonts,0,0,0,0
bpython,desktop,http://www.bpython-interpreter.org/,0,0,0,0
brasero,desktop,https://projects.gnome.org/brasero/,0,0,0,0
btanks,desktop,http://btanks.sourceforge.net/,0,0,0,0
btbuilder,desktop,http://www.identicalsoftware.com/btbuilder,0,0,0,0
butt,desktop,https://danielnoethen.de,0,0,0,0
bzflag,desktop,http://bzflag.org,0,0,0,0
dconf-editor,desktop,https://wiki.gnome.org/Apps/DconfEditor,0,0,0,0
gtkhash-caja,addon,https://github.com/tristanheaven/gtkhash,0,0,0,0
caja,desktop,http://www.mate-desktop.org,0,0,0,0
hugin,desktop,http://hugin.sourceforge.net/,0,0,0,0
calibre,desktop,https://calibre-ebook.com,0,0,0,0
california,desktop,https://wiki.gnome.org/Apps/California,0,0,0,0
mrpt-camera-calibration,desktop,http://www.mrpt.org/,0,0,0,0
camorama,desktop,https://github.com/alessio/camorama/,0,0,0,0
campivisivi-titillium-fonts,font,http://www.campivisivi.net/titillium/,0,0,0,0
ibus-cangjie-engine-cangjie,inputmethod,http://cangjians.github.io/ibus-cangjie,0,0,0,0
cardpeek,desktop,http://pannetrat.com/Cardpeek/,0,0,0,0
cave9,desktop,http://code.google.com/p/cave9,0,0,0,0
cbrpager,desktop,http://www.jcoppens.com/soft/cbrpager/index.en.php,0,0,0,0
arduino,desktop,http://www.arduino.cc/,0,0,0,0
ccdciel,desktop,http://www.ap-i.net/ccdciel/,0,0,0,0
ccgo,desktop,http://ccdw.org/~cjj/prog/ccgo/,0,0,0,0
ccsm,desktop,https://gitlab.com/compiz/ccsm,0,0,0,0
cdogs-sdl,desktop,http://cxong.github.io/cdogs-sdl/,0,0,0,0
celestia,desktop,http://www.shatters.net/celestia/,0,0,0,0
cf-bonveno-fonts,font,http://home.comcast.net/~crudfactory/cf3/bonveno.xhtml,0,0,0,0
cherrytree,desktop,http://www.giuspen.com/cherrytree,0,0,0,0
childsplay,desktop,http://www.schoolsplay.org/,0,0,0,0
chisholm-letterslaughing-fonts,font,http://glyphobet.net/fonts/free/?font=lleqcdd,0,0,0,0
chisholm-to-be-continued-fonts,font,http://www.theory.org/~matt/fonts/free/?font=2bc,0,0,0,0
chocolate-doom,desktop,http://chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chromium,desktop,https://www.chromium.org/Home,0,0,0,0
chromium-bsu,desktop,http://chromium-bsu.sourceforge.net/,0,0,0,0
ckb-next,desktop,https://github.com/ckb-next/ckb-next,0,0,0,0
clanbomber,desktop,http://clanbomber.sourceforge.net/,0,0,0,0
clementine,desktop,https://www.clementine-player.org,0,0,0,0
clipit,desktop,https://github.com/CristianHenzel/ClipIt,0,0,0,0
cmake-gui,desktop,http://www.cmake.org,0,0,0,0
cmst,desktop,https://github.com/andrew-bibb/cmst,0,0,0,0
codeblocks-contrib,addon,http://www.codeblocks.org/cbplugins,0,0,0,0
codeblocks,desktop,http://www.codeblocks.org/,0,0,0,0
colossus,desktop,http://colossus.sourceforge.net/,0,0,0,0
krop,generic,http://arminstraub.com/software/krop,0,0,0,0
d-din-fonts,font,https://datto.com/fonts/d-din,0,0,0,0
d-din-condensed-fonts,font,https://datto.com/fonts/d-din,0,0,0,0
d-din-exp-fonts,font,https://datto.com/fonts/d-din,0,0,0,0
tilix,desktop,https://gnunn1.github.io/tilix-web/,0,0,0,0
liberation-narrow-fonts,font,https://github.com/liberationfonts/liberation-sans-narrow,0,0,0,0
sequeler,desktop,https://github.com/Alecaddd/sequeler,0,0,0,0
fondo,desktop,https://github.com/calo001/fondo,0,0,0,0
dippi,desktop,https://cassidyjames.com,0,0,0,0
ephemeral,desktop,https://cassidyjames.com,0,0,0,0
