lang,field,filter,filter_value,mean,pstdev,number of packages
fo,name,type,desktop,0.22,4.65,924
fo,summary,type,desktop,0.54,7.34,924
fo,description,type,desktop,0.11,3.29,924
fo,package stats,type,desktop,0,0.0,924
sk-SK,name,,,0,0.0,1603
sk-SK,summary,,,0.06,2.5,1603
sk-SK,description,,,0,0.0,1603
sk-SK,package stats,,,0,0.0,1603
sk-SK,name,type,desktop,0,0.0,924
sk-SK,summary,type,desktop,0.11,3.29,924
sk-SK,description,type,desktop,0,0.0,924
sk-SK,package stats,type,desktop,0,0.0,924
sr-Latn,name,,,3.49,18.36,1603
sr-Latn,summary,,,5.3,22.41,1603
sr-Latn,description,,,4.3,20.3,1603
sr-Latn,package stats,,,0,0.0,1603
sr-Latn,name,type,desktop,4.87,21.52,924
sr-Latn,summary,type,desktop,7.25,25.93,924
sr-Latn,description,type,desktop,7.47,26.29,924
sr-Latn,package stats,type,desktop,0,0.0,924
gl,name,,,14.72,35.43,1603
gl,summary,,,30.01,45.83,1603
gl,description,,,15.72,36.4,1603
gl,package stats,,,11.48,31.88,1603
gl,name,type,desktop,12.12,32.64,924
gl,summary,type,desktop,36.58,48.17,924
gl,description,type,desktop,27.06,44.43,924
gl,package stats,type,desktop,18.61,38.92,924
fr_FR,name,,,0.12,3.53,1603
fr_FR,summary,,,0.37,6.11,1603
fr_FR,description,,,0.12,3.53,1603
fr_FR,package stats,,,0.19,4.32,1603
fr_FR,name,type,desktop,0.22,4.65,924
fr_FR,summary,type,desktop,0.65,8.03,924
fr_FR,description,type,desktop,0.22,4.65,924
fr_FR,package stats,type,desktop,0.32,5.69,924
se,name,,,1.12,10.54,1603
se,summary,,,0.44,6.59,1603
se,description,,,0,0.0,1603
se,package stats,,,0,0.0,1603
se,name,type,desktop,0.65,8.03,924
se,summary,type,desktop,0.65,8.03,924
se,description,type,desktop,0,0.0,924
se,package stats,type,desktop,0,0.0,924
tl,name,,,0.19,4.32,1603
tl,summary,,,0.37,6.11,1603
tl,description,,,0.12,3.53,1603
tl,package stats,,,0.06,2.5,1603
tl,name,type,desktop,0.32,5.69,924
tl,summary,type,desktop,0.65,8.03,924
tl,description,type,desktop,0.22,4.65,924
tl,package stats,type,desktop,0.11,3.29,924
zh_CN.GB2312,name,,,0,0.0,1603
zh_CN.GB2312,summary,,,0.06,2.5,1603
zh_CN.GB2312,description,,,0,0.0,1603
zh_CN.GB2312,package stats,,,0,0.0,1603
zh_CN.GB2312,name,type,desktop,0,0.0,924
zh_CN.GB2312,summary,type,desktop,0.11,3.29,924
zh_CN.GB2312,description,type,desktop,0,0.0,924
zh_CN.GB2312,package stats,type,desktop,0,0.0,924
uk,name,,,15.91,36.57,1603
uk,summary,,,30.07,45.86,1603
uk,description,,,15.97,36.63,1603
uk,package stats,,,11.98,32.47,1603
uk,name,type,desktop,15.48,36.17,924
uk,summary,type,desktop,38.31,48.61,924
uk,description,type,desktop,27.16,44.48,924
uk,package stats,type,desktop,19.81,39.85,924
bn_IN,name,,,4.99,21.78,1603
bn_IN,summary,,,4.99,21.78,1603
