project,type,url,name,summary,description,package stats
gnome-shell-extension-calc,shell-extension,https://github.com/eonpatapon/gnome-shell-extension-calc,0,0,0,0
hugin,desktop,http://hugin.sourceforge.net/,0,0,0,0.98
calibre,desktop,https://calibre-ebook.com,0,0,0,0
california,desktop,https://wiki.gnome.org/Apps/California,0,0,0,0
mrpt-camera-calibration,desktop,http://www.mrpt.org/,0,0,0,0
camorama,desktop,https://github.com/alessio/camorama/,yes,yes,0,0.97
campivisivi-titillium-fonts,font,http://www.campivisivi.net/titillium/,0,0,0,0.01
ibus-cangjie-engine-cangjie,inputmethod,http://cangjians.github.io/ibus-cangjie,0,0,0,0
cardpeek,desktop,http://pannetrat.com/Cardpeek/,0,0,0,0
catfish-python3,desktop,https://launchpad.net/catfish-search/,yes,yes,yes,1.0
cave9,desktop,http://code.google.com/p/cave9,0,0,0,0
cbrpager,desktop,http://www.jcoppens.com/soft/cbrpager/index.en.php,0,0,0,0
arduino,desktop,http://www.arduino.cc/,0,0,0,0
ccdciel,desktop,http://www.ap-i.net/ccdciel/,0,0,0,0
ccgo,generic,http://ccdw.org/~cjj/prog/ccgo/,0,0,0,0
ccsm,desktop,https://github.com/compiz-reloaded/ccsm,0,0,0,0
cdogs-sdl,desktop,http://cxong.github.io/cdogs-sdl/,0,0,0,0
celestia,desktop,http://www.shatters.net/celestia/,0,0,0,0
cf-bonveno-fonts,font,http://home.comcast.net/~crudfactory/cf3/bonveno.xhtml,0,0,0,0
cf-sorts-mill-goudy-fonts,font,http://crudfactory.com/,0,0,0,0.01
cherrytree,desktop,http://www.giuspen.com/cherrytree,0,0,0,0
childsplay,desktop,http://www.schoolsplay.org/,0,0,0,0
chirp,desktop,https://chirp.danplanet.com/projects/chirp/wiki/Home,0,0,0,0
chisholm-letterslaughing-fonts,font,http://glyphobet.net/fonts/free/?font=lleqcdd,0,0,0,0
chisholm-to-be-continued-fonts,font,http://www.theory.org/~matt/fonts/free/?font=2bc,0,0,0,0
chocolate-doom,desktop,http://chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chocolate-doom,desktop,https://www.chocolate-doom.org/,0,0,0,0
chromium,desktop,https://www.chromium.org/Home,0,yes,0,0
chromium-bsu,desktop,http://chromium-bsu.sourceforge.net/,0,0,0,0
clanbomber,desktop,http://clanbomber.sourceforge.net/,0,0,0,0
clementine,desktop,https://www.clementine-player.org,0,0,0,0
clipit,desktop,http://clipit.rspwn.com/,0,yes,0,0.54
cmake-gui,desktop,http://www.cmake.org,0,0,0,0
cmst,desktop,https://github.com/andrew-bibb/cmst,0,0,0,0
cockpit,desktop,http://cockpit-project.org/,0,0,0,0
codeblocks-contrib,addon,http://www.codeblocks.org/cbplugins,0,0,0,0
codeblocks,desktop,http://www.codeblocks.org/,0,0,0,0
colossus,desktop,http://colossus.sourceforge.net/,0,0,0,0
d-din-fonts,font,https://datto.com/fonts/d-din,0,0,0,0.01
d-din-condensed-fonts,font,https://datto.com/fonts/d-din,0,0,0,0.01
d-din-exp-fonts,font,https://datto.com/fonts/d-din,0,0,0,0.01
tilix,desktop,https://gnunn1.github.io/tilix-web/,0,0,0,0
sequeler,desktop,https://github.com/Alecaddd/sequeler,0,0,0,0
dippi,desktop,https://cassidyjames.com,0,0,0,0
agenda,desktop,http://brainofdane.com,0,0,0,0
harvey,desktop,http://danielfore.com,0,0,0,0
appeditor,desktop,https://github.com/donadigo/appeditor,0,0,0,0
copyq,desktop,https://hluk.github.io/CopyQ/,0,yes,0,0
notejot,desktop,https://github.com/lainsce/notejot/,0,0,0,0
vocal,desktop,http://github.com/needle-and-thread/vocal,0,0,0,0
persepolis,desktop,http://persepolisdm.github.io/,0,0,0,0
colorhug-client-backlight,desktop,http://www.hughski.com/,0,0,0,0.51
colorhug-client-ccmx,desktop,http://www.hughski.com/,yes,yes,yes,0.51
colorhug-client-refresh,desktop,http://www.hughski.com/,0,0,0,0.51
colorhug-client-flash,desktop,http://www.hughski.com/,yes,yes,0,0.51
0ad,desktop,https://play0ad.com/,0,0,0,0
rosegarden4,desktop,http://www.rosegardenmusic.com/,0,0,0,0
twitter-twemoji-fonts,font,https://twitter.github.io/twemoji/,0,0,0,0
conakry-fonts,font,http://www.evertype.com/fonts/nko/,0,0,0,0.01
conky-manager,desktop,http://www.teejeetech.in/p/conky-manager.html,0,0,0,0
converseen,desktop,http://converseen.fasterland.net/,0,0,0,0
cool-retro-term,desktop,https://github.com/Swordfish90/cool-retro-term,0,0,0,0
coq-coqide,desktop,https://coq.inria.fr/,0,0,0,0
cqrlog,desktop,https://www.cqrlog.com/,0,0,0,0
crawl-tiles,desktop,https://crawl.develz.org/,0,0,0,0
crossfire-client,desktop,http://crossfire.real-time.com,0,0,0,0
culmus-aharoni-clm-fonts,font,https://code.google.com/p/noto,0,0,0,0
cura,desktop,https://ultimaker.com/en/products/cura-software,0,0,0,0
d-feet,desktop,https://wiki.gnome.org/Apps/DFeet,0,yes,yes,1.0
darkgarden-fonts,font,http://darkgarden.sourceforge.net/,0,0,0,0
darkplaces-quake,desktop,http://www.xonotic.org/,0,0,0,0
darktable,desktop,https://www.darktable.org/,0,yes,yes,0.96
gnome-shell-extension-dash-to-dock,shell-extension,https://micheleg.github.io/dash-to-dock/,0,0,0,0
datovka,desktop,https://labs.nic.cz/cs/datovka.html,0,0,0,0
tlp,generic,http://linrunner.de/tlp,0,0,0,0
urw-base35-c059-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-d050000l-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-nimbus-mono-ps-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-nimbus-roman-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-nimbus-sans-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-p052-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-bookman-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-gothic-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
urw-base35-z003-fonts,font,https://www.urwpp.de/en/,0,0,0,0.01
dejavu-fonts-common,font,http://dejavu-fonts.org/,0,0,0,0.01
denemo-feta-fonts,font,http://www.denemo.org/,0,0,0,0
denemo-music-fonts,font,http://www.denemo.org/,0,0,0,0.01
denemo,desktop,http://www.denemo.org/,0,yes,yes,0.87
dia,desktop,https://wiki.gnome.org/Apps/Dia,yes,yes,0,0.78
dianara,desktop,https://jancoding.wordpress.com/dianara,0,0,0,0
diffuse,desktop,http://diffuse.sourceforge.net/,0,0,0,0
gnome-shell-extension-disconnect-wifi,shell-extension,https://github.com/kgshank/gse-disconnect-wifi,0,0,0,0
dolphin-emu,desktop,https://dolphin-emu.org/,0,0,0,0
gnome-shell-extension-do-not-disturb-button,shell-extension,https://nls1729.github.io/donotdisturb_button.html,0,0,0,0
vavoom-doom-shareware,desktop,https://en.wikipedia.org/wiki/Doom_%281993_video_game%29,0,0,0,0
dreampie,desktop,http://www.dreampie.org/,0,0,0,0
drehatlas-warender-bibliothek-fonts,font,http://www.drehatlas.de/,0,0,0,0.01
drehatlas-widelands-fonts,font,http://www.drehatlas.de/,0,0,0,0.01
drehatlas-xaporho-fonts,font,http://sourceforge.net/projects/drehatlas-fonts/,0,0,0,0.01
gnome-shell-extension-drive-menu,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,1.0
drumkv1,desktop,http://drumkv1.sourceforge.net,0,0,0,0
dustin-domestic-manners-fonts,font,http://www.dustismo.com,0,0,0,0
dustin-dustismo-fonts-common,font,http://www.dustismo.com,0,0,0,0.01
dxf2gcode,desktop,https://sourceforge.net/projects/dxf2gcode/,0,0,0,0
easystroke,desktop,https://github.com/thjaeger/easystroke/wiki,0,0,0,0
easytag-nautilus,addon,https://wiki.gnome.org/Apps/EasyTAG,0,0,0,0
easytag,desktop,https://wiki.gnome.org/Apps/EasyTAG,0,0,0,0.71
eclipse-linuxtools-changelog,addon,http://www.eclipse.org/linuxtools/projectPages/changelog/,0,0,0,0
eclipse-epic,addon,http://www.epic-ide.org/,0,0,0,0
eclipse-linuxtools-gcov,addon,http://www.eclipse.org/linuxtools/projectPages/gcov/,0,0,0,0
eclipse-linuxtools-gprof,addon,http://www.eclipse.org/linuxtools/projectPages/gprof/,0,0,0,0
eclipse-jdt,addon,http://www.eclipse.org/jdt/,0,0,0,0
eclipse-linuxtools-oprofile,addon,http://www.eclipse.org/linuxtools/projectPages/oprofile/,0,0,0,0
eclipse-pde,addon,http://www.eclipse.org/pde/,0,0,0,0
eclipse-pdt,addon,http://www.eclipse.org/pdt/,0,0,0,0
eclipse-linuxtools-perf,addon,http://www.eclipse.org/linuxtools/projectPages/perf/,0,0,0,0
eclipse-pydev,addon,http://www.pydev.org/,0,0,0,0
eclipse-quickrex,addon,http://sourceforge.net/projects/quickrex/,0,0,0,0
eclipse-subclipse,addon,http://subclipse.tigris.org/,0,0,0,0
eclipse-linuxtools-systemtap,addon,http://www.eclipse.org/linuxtools/projectPages/systemtap/,0,0,0,0
eclipse-linuxtools-valgrind,addon,http://www.eclipse.org/linuxtools/projectPages/valgrind/,0,0,0,0
eclipse-platform,desktop,http://eclipse.org,0,0,0,0
ecolier-court-fonts,font,http://perso.orange.fr/jm.douteau/page_ecolier.htm,0,0,0,0
edb,desktop,http://codef00.com/projects,0,0,0,0
PyMca,desktop,http://pymca.sourceforge.net/,0,0,0,0
